词根词缀,含义,示例
ser,词根：连接，安排,series(n.连续，系列；丛书)
serf,"n. 农奴,奴隶【词根】serve,slave服侍,服务,奴",serfdom(n.  农奴身份; 奴隶身份)
seric,词根：丝绸；产丝绸的地方,sericulture(n. 养蚕；蚕丝业)
serr,词根：表示“锯子”,serration(n.  锯齿状; 锯齿状突起)
sert,"【词根】加入，插入,连接，安排；服务，奴隶",assert(vt. 维护，坚持；断言；主张（as+sert→强行插入观点→断言）)
serv,【词根】服务；保存,service(n. 服务，服侍；服役；仪式)
ses,词根：六,sestet(n. 六重唱曲；六行诗节)
sesqui,【前缀】表示“一个半”之义,sesquisalt（n.倍半盐）
sess,"【法】 税, 税率【词根】坐",session(n.会议，一段时间)
set,"/ set/v.放, 置, 移动到。词根：坐，走，放；坐",settle(vi. 解决；定居；沉淀；下陷)
sev,词根：刀；割断，使分离,severance（n. 分离；断绝；隔离；区别）
sever,/ 5sevE(r)/vt. 割断，断绝；分开【词根】诚恳,persevere(v.坚持不懈（per始终+severe→始终诚恳→坚持不懈）)
sex,/ seks/n.性别【前缀】六；性,sextuplet(n. 六个一组；六胞胎之一)
sext,/ sekst/ n. 第六时祷告仪式【前缀】六,sextant（n. 六分仪（航海定向仪器））
sh,"后缀：动词后缀，表示“拟声动作""等",clash（vi. 冲突，抵触；砰地相碰撞，发出铿锵声）
shad,"/ FAd/ n. 西鲱【词根】遮光,阴暗",shade(n. 树荫；阴影；阴凉处；遮阳物)
shak,"词根：摇,搅,迅速,移动",shake(vt. 动摇；摇动；震动；握手)
shap,词根：切割，刮，劈，砍，挖,shape(n. 形状；模型；身材；具体化)
shar,词根：切割,share(vt. 分享，分担；分配)
shav,词根：切割，刮，劈，砍，挖,shave(vt. 剃；修面；掠过)
shel,词根：切分,shelf(n. 架子；搁板；搁板状物)
ship,/ Fip/n. 船；舰；太空船【后缀】表示抽象名词,worship(vt.崇拜)
shor,词根：切割,short(adj. 短的；不足的；矮的)
shov,词根：推,shove(vt. 挤；强使；撞；猛推)
si,词根：停止，安顿，安静,site(n. 地点；位置；场所)
sibil,词根：hiss（咝咝声）,sibilant （adj. 咝咝作声的；发丝音的）
sicc,词根：干燥,desiccant(adj. 去湿的，使干燥的)
sid,【词根】坐,reside(vi. 住，居住；属于)
sider,"词根：星星,考虑,关心,认为",consider(vt. 考虑；认为；考虑到；细想)
sie,词根：坐,siesta(vi. 午睡；午休)
siev,"词根：倒,筛,滴",sieve(vt. 筛；滤)
sif,"词根：倒,筛,滴",sift(vt. 筛选；撒；过滤；详查)
sig,词根：跟随;记号，信号,signal(n. 信号；暗号；导火线
sign,/ sain/  v.签名【词根】记号,signal(n. 信号；暗号；导火线
signi,"词根：记号,符号",insignia(n. 记号，标志；徽章；荣誉（in内+sign+ia→内部标志物→国徽）)
sil,词根：跳；安全，整，救助,resilient(adj. 弹回的，有弹力的)
silic,词根：硅；打火石,silicon（n. [化学] 硅；硅元素）
silv,词根：森林；银,silvan（adj. 森林的，生活在森林中的；树木多的）
sim,【前缀】单一；一个接一个【词根】相似,simply(ad.简单地；朴素地)
simil,【词根】类似的；相同的,similarly(ad.类似地，相似地)
simpl,【词根】单,simplex（adj. 单纯的；单一的)
simul,词根：相似，相同,simulate(vt. 模仿；假装；冒充)
sine,n.  正弦【前缀】无  ,sinecure(n. 闲职；挂名职务)
sing,vi. 唱歌；歌颂【词根】单,single(adj. 单一的；单身的；单程的)
sinic,词根：中国,sinicize(vt. 使…中国化)
sino,前缀：中国,sinology(n. 汉学，中国问题研究)
sinu,【词根】弯曲,sinuous(adj. 蜿蜒的；弯曲的；迂回的)
sion,【后缀】用以构成名词,mansion(n.大厦，大楼；宅第)
sip,n. 抿；小口喝；vi. 啜饮【词根】喝，吸;聪明；品尝,siphon(n. 虹吸管)
sis,后缀：表示“过程”，“状态”，“动作”,symbiosis（n. [生态] 共生；合作关系；共栖）
sist,【词根】站,resist(vi. 抵抗，抗拒；忍耐)
sit,/ sit/v.坐。【词根】坐，走，放；坐,site(n. 地点；位置；场所)
sito,词根：食物 ,sitology(n. 营养学；饮食学)
sk,词根：看，切，保持，抓，暂停;光滑,sketch(n. 素描；略图；梗概)
skep,"/ skep/ n. 篮子, 蜂箱【词根】看, 想",skeptic（n. 怀疑论者；怀疑者；无神论者）
skept,词根：看，观察,skeptic(n. 怀疑论者；怀疑者；无神论者)
skir,词根：切割,skirt(n. 裙子)
sl,词根：松慢;细长;滑,slack(adj. 松弛的；疏忽的；不流畅的)
sla,词根：敲击；杀死,slayer(n. 凶手；杀人者；屠宰者)
slav,词根：服务，保护，保存,salvation(n. 拯救；救助)
sleev,词根：滑,sleeve(n. [机] 套筒，[机] 套管；袖子)
sli,词根：滑,slip(vi. 滑动；滑倒；犯错；失足；减退)
slo,词根：慢的；迟钝的,sloth(n. 怠惰，懒惰；[脊椎] 树懒)
slout,"词根：loosen松开,解开",solute(n.  溶解物; 溶质)
sman,【后缀】表示“人”,tradesman(n.商人；手艺人)
smok,词根：烟,smoke(n. 烟；抽烟)
sn,词根：鼻子，咬,sniff(vt. 嗅；闻；用力吸)
snak,词根：爬行,snake(n. 蛇；阴险的人)
snor,词根：呼吸,snore(n. 鼾声)
soc,"词根：表示""同伴""，引申为""社会"""";跟随",sociology(n.社会学)
soci,"【词根】连接；表示""同伴""，引申为""社会""""",sociable(adj. 社交的；好交际的；友善的)
socio,词根：社会，团体,sociology(n. 社会学；群体生态学)
sol,【词根】单独的;太阳；解,solo(n. 独奏；独唱；独奏曲)
solid,"/ 'sRlid/ n. 固体a. 坚硬的【词根】牢固firm,whole",solidify(v. 团结；凝固)
solu,词根：松开,"solution(n.  解决, 溶液, 解答)"
solut,词根：松开,solution(n.解决，解答；溶解)
solv,词根：松开,solve(vt.解答，解释，解决)
som,词根：身体；同，一，相似,somatic(adj. 躯体的；肉体的（som+atic）)
somat,"词根：体,躯体",somatology(n. 人类躯体学；人体学)
some,adj. 一些；某一；大约【后缀】表性质、大小状况,gladsome（adj. 高兴的；可喜的）
somn,【词根】睡,insomnia(n. 失眠症，失眠)
somni,前缀：表示“睡眠”之义,somniferous（adj. 催眠的；使爱睡的；想睡的）
somno,词根：sleep睡眠,somnolence(n.  想睡; 困倦)
son,/ sQn/n.儿子【词根】声音,ultrasonic(a.超声的)
sonde,后缀：名词后缀，表示“探测器”,rocketsonde(n. 探测高空气象资料的火箭)
soph,【词根】聪明的；智慧,philosophy(n.哲学；哲理；人生观)
sopr,前缀：超级的,soprano(adj. 女高音的；童声高音的)
sor,词根：疼痛，病,sore(n. 溃疡，痛处；恨事，伤心事)
soror,词根：姐妹,sororal(adj. 姐妹的)
sorpt,词根：吸收,absorption(n.吸收；专注)
sort,"vt. 将事物分类；整理【词根】连接，安排;种类,出现",consort(vi. 结交；陪伴；符合)
sove,【前缀】特级的;过分,sovereign(n.君主)
sp,【词根】看；嘴,despise(vt. 轻视，鄙视)
spa,n.矿泉，温泉浴场。【词根】繁荣，希望，旺盛，伸,space(n. 空间；太空；距离)
spair,【词根】希望,despair(n.绝望)
spars,"词根：散，撒,分",sparse(adj. 稀疏的；稀少的)
spe,词根：繁荣，希望，旺盛，伸,prosper(vi. 繁荣，昌盛；成功)
spec,"n. 投机, 投机事业, 规格【词根】看,外观，种类",specious(adj. 似是而非的；外表美观的；华而不实的)
speci,"词根：表示“外观，种类”""",species(n.  种类; 形式; 种; 人类)
spect,【词根】看,unexpected(a.想不到的，意外的)
spectr,词根：光谱,spectral(adj.  妖怪的; 鬼怪妖魔般的; 幽灵的; 光谱的)
specul,词根：look看,"speculate(v.  深思, 投机, 推测; 推测, 推断)"
sper,【词根】繁荣，希望，旺盛，伸,prosperous(a.繁荣的，昌盛的)
spermat,"词根：sperm精子,精液",spermatic(adj.  精液的; 生殖的; 精囊的)
spers,"【词根】散,撒,分",disperse(vt. 分散；使散开；传播)
spher,【词根】球,spherical(a.球形的，球面的)
sphere,n.  球; 球形【词根】球,sphere(adj. 球体的)
sphygm,词根：sphygmus脉博,sphygmogram(n.  脉波; 脉搏曲线) ?
spi,【词根】看,conspicuous(adj. 显著的；显而易见的（con大家+spic+uous→大家都看见→显眼的）)
spic,【词根】看,conspicuous(adj. 显著的；显而易见的（con大家+spic+uous→大家都看见→显眼的）)
spin,/ spin/  vi. 旋转；纺纱；吐丝；晕眩【词根】刺,spiny(adj. 多刺的；麻烦的；尖刺状的)
spir,【词根】呼吸,spiritual(a.精神的，心灵的)
spirat,词根：呼吸,respirator(n. 口罩；[医] 呼吸器；防毒面具)
spl,词根：喷开、裂开,split(n. 劈开；裂缝)
splen,【医】 脾【词根】脾,splenic(adj.  脾脏的; 脾的)
splend,【词根】发光,splendid(a.壮丽的；显著的)
spon,词根：承诺,despond(vi. 失去勇气；沮丧)
spond,【词根】保证;答应，约定,respond(vi. 回答；作出反应；承担责任（re回+spond→承诺回去→回答）)
spong,词根：海绵,sponge(n. 海绵；海绵状物)
spons,"词根：表示“承诺”""","response(n.  反应, 响应, 回答)"
sponse,【词根】保证,"response(n.  反应, 响应, 回答)"
spor,词根：spore孢子,spore(n.  孢子; 胚芽; 种子; 生殖细胞)
spous,词根：保证，约定,spouse(n. 配偶)
spr,"词根：喷洒,散射",spray(n. 喷雾；喷雾器；水沫)
spri,词根：精神,sprightliness（n.愉快，快活（spri精神上的+ghtli + ness））
squ,词根：挤压,squeeze(vt. 挤；紧握；勒索)
st,【词根】站,stance(n. 立场；姿态；位置；准备击球姿势)
sta,【词根】站,stance(n. 立场；姿态；位置；准备击球姿势)
stab,"n.  刺, 伤心【词根】站",stable(adj. 稳定的；牢固的；坚定的)
stag,"a. 只准男子参加的 
n. 牡鹿【词根】stand站立",stagy(adj.  戏剧的; 做作的; 夸大的)
stagn,词根：stand站立,"stagnancy(n.  不流动, 停滞; 萧条, 不景气; 迟钝, 呆滞)"
stak,词根：钉，杆，棒,stake(n. 桩，棍子；赌注；火刑；奖金)
stal,词根：站,stalwart(adj. 坚定的；健壮的)
stall,n. 货摊；畜栏【词根】站;放,install(vt. 安装；任命；安顿（in进+stall→放进去→安装）)
stam,词根：站;阻止,stamina(n. 毅力；精力；活力；持久力（stam[stan站]+ina→站下去→[有]耐力）)
stan,词根：站,stance(n. 立场；姿态；位置；准备击球姿势)
stand,n.  站立; 停止; 立定【词根】站,withstand(vt. 抵挡；禁得起；反抗（with反+stand→反着站→抵抗）)
stann,词根：stannum锡,"stannary(n.  锡矿, 锡矿区)"
stant,【词根】站,instant(adj. 立即的；紧急的；紧迫的)
stas,【词根】站,stasis(n. [医] 郁积，停滞；血行停滞)
stat,【电】 静【词根】站,station(n. 车站；驻地；地位；身分)
state,"n.  状况, 状态; 形势【词根】说",restate(vt. 重申；重新叙述；重讲)
ste,词根：推，敲，打，突出,steep(adj. 陡峭的；不合理的；夸大的)
stead,n.  代替; 用处【词根】站,instead(adv. 代替；反而)
stell,【词根】星星,interstellar(adj. [航][天] 星际的（inter在之间+stellar星星的）)
sten,"词根：narrow,little狭窄,少",stenosis(n.  狭窄; 狭窄症)
steno,"n. 速记员, 速记, 速记法【词根】狭小",stenographer(n. 速记员（steno狭小+graph写+er→缩小了写→速记）)
step,n.脚步；步骤；措施【前缀】同父异母的；继的,stepfather(n. 继父)
ster,【后缀】表示“人”,monster(n.怪物；畸形的动植物)
stereo,n.立体声收音机【词根】固体的；立体的,stereograph(n. 立体照片；立体画)
stern,/ stE:n/  a.严厉的，严格的【词根】胸(骨)；僵硬的,sternal(adj.  胸骨的; 近胸骨的)
stetho,词根：chest（胸）,stethoscope（vt. 用听诊器诊断）
sti,词根：剌，尖,stick(vt. 刺，戳；伸出；粘贴)
stif,词根：压缩，紧密，硬,stiff(adj. 呆板的；坚硬的；严厉的)
stig,词根：发恶臭,stigma(n. [植] 柱头；耻辱；污名；烙印；特征)
stige,词根：舞台,prestige(n. 威望，声望；声誉)
stigm,词根：表示“标志，斑点”,"stigma(n.  耻辱, 污名; 眼点; 柱头)"
stil,词根：drop滴,distil(v.  蒸馏; 浓缩; 净化; 吸取...的精华; 蒸馏; 提炼)
still,/ stil/  adv.还是；还；仍然【词根】滴下,instillation(n.慢慢灌输; 滴注)
stim,【词根】刺,"stimulate(v.刺激, 鼓舞, 激励)"
stimul,词根：表示”刺，刺激“,"stimulate(v.刺激, 鼓舞, 激励)"
stin,"词根：表示“站，立”""","obstinate(adj.倔强的, 顽固的)"
stinct,【词根】刺,distinct(adj. 明显的；独特的；清楚的（dis分开+stinct→把刺分开→与众不同的→明显的）
sting,/ stiN/  n. 刺痛；讽刺，刺激 【词根】刺,distinguish(vt. 区分；辨别；使杰出)
stip,词根：一起按压,stipulate（v. 规定；保证）
stirain,词根：表示“拉紧”,constrain(v.  强迫; 拘束)
stit,【词根】站,constitution(n.(人的)体格，素质)
stitu,"词根：place,establish放,建立",constitute(v.  制定; 组成; 建立)
stitut,词根：表示”建立，放“,institute(v.  创立; 制定; 开始)
stitute,词根：固定的，不动的，静止的；建立,constitute (vt. 组成，构成；建立；任命)
sto,词根：推，敲，打，突出,stoop(vi. 弯腰；屈服；堕落)
stom,【词根】嘴,stomach(n.胃；肚子；食欲)
stomat,词根：mouth口,stomatic(adj.  口的; 气孔的; 嘴的)
ston,词根：压缩，紧密，硬,stone(n. 石头；结石；[宝] 宝石)
stor,词根：站,store(n. 商店；储备，贮藏；仓库)
stov,词根：堆垛，藏,stove（n. 火炉；窑；温室）
str,"词根：拉扯,拉紧,扯紧",strain(n. 张力；拉紧；负担；扭伤)
strain,/ 5strein/  vi.尽力，使劲【词根】拉紧,restrain(vt. 抑制，控制；约束；制止)
strang,【词根】拉紧,strangle(vt. 把…勒死；使…窒息)
strat,词根：表示“扩散”，引申为“层次”,strata(n.层; 组织层)
strato,【词根】层云;延伸；扩张,stratospheric(adj. 平流层的；同温层的)
strea,词根：流,stream(n. 溪流；流动；潮流；光线)
stren,词根：严格的；僵硬的rigid,strenuous(adj. 紧张的；费力的；奋发的；艰苦的；热烈的)
streng,词根：拉，拉紧，压，击打;强壮的,strength(n. 力量；力气；兵力；长处)
strept,词根：铰链,streptomycin(n. [药][微] 链霉素)
stress,/ stres/  v. 加压力于；使紧张【词根】拉紧,distress(n. 危难，不幸；贫困；悲痛)
strict,/ strikt/ adj. 严格的；绝对的【词根】拉,strictly(ad.严格地，严谨地)
strid,stride的过去分词【词根】contend竞争,"stride(n.  大步, 一跨步)"
strif,词根：contend竞争,"strife(n.  冲突, 倾轧, 争斗; 吵架, 不和)"
strik,词根：拉，拉紧，压，击打,strike(vi. 打，打击；罢工；敲，敲击；抓；打动)
string,/ striN/  n.线;细绳【词根】拉紧,stringent(adj. 严厉的；迫切的；银根紧的（string+ent→拉紧的→紧迫的）)
striv,词根：contend竞争,"strive(v.  努力, 奋斗, 苦干; 反抗, 斗争)"
stroph,【词根】转动,epistrophe(n. 尾词重复；结句反覆)
strophe,"n.  希腊歌队唱的歌, 诗节【词根】转动",epistrophe(n. 尾词重复；结句反覆)
stru,【词根】建造；堆积,structure(n. 结构；构造；建筑物)
struct,【词根】建造；堆积,structure(n. 结构；构造；建筑物)
stry,词根：建造,industry(n. 产业；工业；勤勉)
stu,词根：推，敲，打，突出,study(n. 学习，研究；课题；书房)
stup,"词根：笨,麻木",stupid(adj. 愚蠢的；麻木的；乏味的)
styl,"词根：文体,风格,式样;尖（头）的，茎突","stylish(adj.  时髦的, 流行的, 漂亮的)"
stylo,"词根：尖(头)的,茎突",styloid（adj.  花柱的; 茎突的; 茎状的）
su,前缀：用于sp 母前= sub(在…下方),suspect(adj. 可疑的；不可信的)
sua,词根：劝告,persuade(vt. 说服，劝说；使某人相信)
suad,"【词根】甜,愉快;劝告",persuade(vt. 说服，劝说；使某人相信)
suade,"【词根】甜,愉快;劝告",persuade(vt. 说服，劝说；使某人相信)
suas,"【词根】甜,愉快;劝告",persuasion(n. 说服；说服力；信念；派别)
suav,"【词根】甜,愉快;劝告",suave(adj. 柔和的，温和的；文雅的，娴雅的)
sub,"n. 地铁,潜艇,替补队员 【前缀】次,亚；在…下面,低",subway(n.地道；地下铁路)
subter,前缀：少于  ,subterfuge(n. 托词；借口；诡计)
suc,"【前缀】在…...下面,低,次,亚",successor(n.继承人，继任者)
succ,词根：juice（果汁）,succulent （adj. 多汁的；多水分的；多汁性的）
sud,词根：sweat（汗）,sudatory （n. 发汗室；发汗药）
sue,"/ sju:/vt.控告, 向...请求, 请愿。词根：跟随",pursue(vt. 继续；从事；追赶；纠缠)
suf,"【计】 后的【前缀】在…...下面,低,次,亚",sufficiently(ad.足够地，充分地)
sug,【前缀】下；次,suggestion(n.建议，意见；暗示（sug+gest产生+ion))
sui,词根：自已，自我,suicide(n. 自杀；自杀行为（sui自己＋cide杀）)
sul,词根：取，抓；跳,consul(n. 领事；（古罗马的）两执政官之一)
sulf,"词根：硫代,磺基",sulfa(n.  磺胺制剂)
sulph,"词根：硫代,磺基",sulphide(n.  硫化物)
sult,【词根】跳,result(n.成果)
sum,"/ sQm/n.总数, 和, 金额【前缀】下；次【词根】集结",resume(n. 摘要；[管理] 履历，简历)
sume,【词根】拿,resume(vi. 重新开始，继续（re回+sun+e→拿回去，也可解释为重新拿起，继续）)
summ,【词根】概要；最高的,summarization(n. [图情] 摘要；概要)
sump,"n.  污水坑, 池, 水坑【词根】拿，取",presumption(n. 放肆，傲慢；推测
sumpt,词根：拿，取,presumption(n. 放肆，傲慢；推测
sumptu,词根：expense（花费）,sumptuous（adj. 华丽的，豪华的；奢侈的）
sup,"/ sQp/vi.啜饮【前缀】在…...下面,低,次,亚",suppress(vt.镇压；抑制；隐瞒)
super,/ 5sju:pE/  太棒了【前缀】超过；在上,supreme(a.最高的；最大的)
supr,词根：上,supreme(adj. 最高的；至高的)
supra,adv.  在上; 在前【前缀】在……之上,supraliminal(adj. [生理] 阈上的；意识之上的)
supre,前缀：无上  ,supreme(adj. 最高的；至高的；最重要的)
sur,"【词根】确定的；安全的【前缀】在下面,超过",survive(vt. 幸存；生还；幸免于（sur在下面+viv+e→在[事故]下面或下来→辛存）
surg,词根：表示“升起”,"surge(n.  大浪, 波涛; 爆发)"
surge,/ sE:dV/vi 汹涌，澎湃【词根】上升；起立,"surge(n.  大浪, 波涛; 爆发)"
surrect,【词根】上升；起立,resurrect(vt. 使复活；复兴；挖出)
sus,【前缀】下；次,sustain(vt.支撑；供养；忍受)
sw,词根：摇摆,swing(n. 摇摆；摆动；秋千)
swall,"词根：吃,喝",swallower(n. 贪吃的人；吞咽者；叉齿鱼)
swer,词根：说,answer(vt. 回答；符合)
swif,词根：快速移动,swift(adj. 快的；迅速的；敏捷的)
sy,【前缀】类似；连；同时；相同,syzygy(n. [天] 朔望；会合；对点；二韵脚)
syl,【前缀】类似；连；同时；相同,syllogism(n. 三段论；推论)
sylv,词根：森林,sylvatic(adj. 栖息于森林的)
sym,【前缀】类似；连；同时；相同,sympathize(vi.同情；同感，共鸣)
syn,【前缀】类似；连；同时；相同,synthetic(a.综合的；合成的)
sys,【前缀】共同,systole（n. 心脏收缩）
syst,词根：组织，系统,system（n. 制度，体制；系统；方法）
t,【后缀】-ed的异体，用于构成过去分词等,slept(v. 睡觉（sleep的过去式和过去分词）)
tabl,"词根：板,桌子",table（n. 桌子；表格；平地层）
tabul,词根：plank（平板）,tabular（adj. 扁平的；列成表格的）
tac,【词根】沉默的,tacit（adj. 缄默的；不言而喻的；心照不宣的）
tach,n.  环; 扣【词根】连接；钉，杆，棒,attach（vt. 使依附；贴上；系上）
tacho,"词根：speed快速,速度","tachometer(n.  转速计, 流速计)"
tachy,"词根：speed快速,速度",tachyon(n.  核光速粒子)
tact,"/ tAkt/n.机智, 手法, 老练, 角觉【词根】接触",contact(vt.使接触；与…联系)
tag,n.  牌子; 标签; 短句【词根】接触,contagion（n. 传染病；蔓延；触染（con共同+tag+ion→共同接触到→传染））
tail,n. 尾巴；踪迹；辫子；燕尾服【词根】裁剪；切割,tailor(n.裁缝)
tain,"【词根】握，持，守；伸,拉",sustain（vt. 维持；支撑，承担；忍受（sus+tain握住→在下面握住→支撑））
tal,词根：携带，搬运，忍受，重量，钱；数，叙述，切割,tale（n. 故事；传说；叙述；流言蜚语）
tam,"词根：统治,家,屋,驯服",tame（adj. 驯服的；平淡的；乏味的）
tamin,n. 塔明有光薄呢【词根】接触,contaminate（vt. 污染，弄脏）
tang,"/ tAN/ n. 强烈味道, 特殊的气味, 特性【词根】接触",tangible（adj. 有形的；切实的；可触摸的）
tap,/ tAp/n.龙头。词根：顶尖,tape（n. 胶带；磁带；带子）
taph,词根：tomb（墓）,epitaph（n. 碑文，墓志铭（epi的旁边，在墓边的“墓志铭”）） 
tard,词根：表示“慢”,"tardy(a 缓慢的,迟的)"
tauto,词根：same（相同）,tautology（n. 同义反复；无谓的重复）
tax,vt.增添…负担 n.税【词根】排列,syntax(n.句法； 句法规则[分析]； 语构； 语法)
tea,"/ ti:/ n. 茶, 茶叶【词根】拉；拽；扯",tease(vt. 取笑；戏弄；梳理；欺负；强求)
techn,【词根】艺术；技巧,technique(n.技术，技巧；技能)
techno,【计】 技术【词根】艺术；技巧,technology(n.工艺学，工艺，技术)
tect,【词根】覆盖,protective(a.保护的，防护的)
teen,n. 青少年（等于teenager）【后缀】表示数字,nineteen(num.十九，十九个)
teg,n. 两岁的羊【词根】覆盖,integument（n. 覆盖物；（动植物的）皮肤，外皮）
tegr,【词根】接触；完整,integral（adj. 积分的；完整的，整体的）
tel,词根：再数，数，叙述，切割；目的，末端；远,tell（vt. 告诉，说；辨别；吩咐）　　teleological(adj.  目的论的)
tele,n. 电视【词根】远【前缀】远距离,television(n.电视；电视机)
telo,"词根：末端；远,电视,电报,电信,传真",telophase(n.  末期)
tem,词根：时间,temporary（adj. 暂时的，临时的)
temn,词根：表示“藐视”,"contemn(v.侮辱, 蔑视)"
temper,/ 5tempE/  n.恶劣的心情，心绪焦躁【词根】适度的,temperature(n.温度；体温)
templ,词根：tmple（庙）,contemplate（ vt. 沉思（像庙中人一样深思；注视；思忖；预期））
tempo,"n.  速度, 拍子【词根】时间",temporary（adj. 暂时的，临时的)
tempor,【词根】时间；时代,temporary(a.暂时的，临时的)
tempt,/ tempt/  vt.引诱【词根】藐视;尝试,contempt(n. 轻视，蔑视；耻辱)
ten,/ ten/num.十【词根】使保持；维持;抓；薄,maintenance(n.维持，保持；维修)
tend,/ tend/vt. 照料， 照顾； 护理【词根】伸展,tender(a.嫩的；脆弱的)
tens,【词根】伸展,tensile(a.张力的；能伸长的)
tent,/ tent/n.帐篷【词根】尝试；伸展,content(n. 内容，目录；满足)
tenu,【词根】薄的,tenuity(n. 稀薄；贫乏；纤细；微弱（tenu+ity）)
tep,词根：slightwarmth微温,"tepid(adj.  微温的, 不太热心的, 温热的)"
ter,【前缀】三次的；三倍的,tern(n. 燕鸥；三个一组)
tera,词根：万亿,terabyte(n. 太字节；兆兆位（量度信息单位）)
terg,【词根】背部,tergum(n. [昆] 背板；[动] 背甲)
term,"/ tE:m/n.学期, 期限, 期间, 条款【词根】边界；限制","interminable(adj.  无限的, 冗长的)"
termin,词根：表示“界限”,"interminable(adj.  无限的, 冗长的)"
terr,【词根】地球；土地;使惊吓,Mediterranean(n.地中海)
terra,n.  地; 土地【词根】地; 土地,Mediterranean(n.地中海)
test,/ test/n. 试验；检验【词根】证明；试验,testify(v.证明，证实，作证)
tetr,前缀：四  ,tetracycline(n. [药] 四环素（抗生素的一种）)
tetra,/ 'tetrE/ n. 脂鲤【前缀】四,tetrad(n. 四个；四个一组)
text,/ tekst/n.课文；课本;vt.发短信【词根】编织,textile(n. 纺织品，织物（text+ile→编织出的物品）)
th,【后缀】构成抽象名词，表示行为、性质、状态、情况,warmth（n. 温暖；热情；激动）
the,"/ TE, Ti/  这(那)；这(那)些【词根】神",theology(n. 神学；宗教体系)
thef,词根：偷,theft(n. 盗窃；偷；[罕]赃物)
theo,【词根】神,theology(n. 神学；宗教体系)
ther,"后缀:构成名词,表示“动作”,“过程”等",gather（n. 聚集；衣褶；收获量）
therap,"词根：cure治疗,疗法","therapeutic(adj.  治疗的, 治疗学的)"
therapy,"n.  治疗,疗法【后缀】表示'治疗'的意思，构成复合语  ",hydrotherapy（n. 水治疗法）
therm,"n. 千卡, 克卡, 撒姆(煤气热量单位)【前缀】热",thermal(a.热的；温泉的)
thermo,词根：热，温,thermocline（n. [海洋] 温跃层；[地质] 斜温层；变温层）
thes,【词根】放,thesaurus(n. 宝库；辞典；知识宝库)
thesis,"n.  论题, 论文【词根】放",synthesis(n. 综合，合成；综合体(（syn共同+thesis放→放在一起→合成）)
thet,【词根】放,synthetic(a.综合的；合成的（syn共同+thet+ic放→放一起）)
thir,词根：干，地,thirst(n. 渴望；口渴；热望)
thr,词根：通过，穿过，征服,through(prep. 通过；穿过；凭借)
thrif,词根：抓,thrift(n. 节俭；节约；[植]海石竹)
thriv,词根：抓,thrive(vi. 繁荣，兴旺；茁壮成长)
throne,n. 王座；君主；王权【词根】座位,dethrone(vt. 废黜；废位赶出；罢免)
thum,"词根：膨胀,鼓",thumb(n. 拇指)
thun,词根：打雷,thunder(n. 雷；轰隆声；恐吓)
thund,词根：声音,thunder（n. 雷；轰隆声；恐吓）
thusi,【词根】上帝，神,enthusiastic(a.热情的，热心的)
tic,/ tik/ n. 痉挛【词根】形容词后缀,dramatic（adj. 戏剧的；引人注目的；激动人心的）
tig,【词根】接触,contiguous(adj. 连续的；邻近的（con共同+tig接触+uous互相接触→毗邻的）)
tim,蒂姆（男名）(A10)【词根】恐怖，怕,timid(a.胆怯的；羞怯的)
tin,n. 锡；罐头，罐；马口铁【词根】使保持；维持,continue(vi. 继续，延续；仍旧，连续（con全部+tin+ue→全部拿住→做事做到尾→继续）
tinct,n. 色彩；颜色【词根】容纳；刺,extinct(adj. 灭绝的，绝种的；熄灭的)
tind,词根：棍，柴；堆，垛,tinder（n. 火绒；易燃物）
ting,词根：接触,contingent(adj. 因情况而异的；不一定的；偶然发生的（con共同+ting+ent→（根据）大家接触到的情况而定）
tinu,"词根：持续,拿住",continue(vi. 继续，延续；仍旧，连续)
tion,【后缀】表示状态；表示结果；表示行为（构成名词）,aberration(n. 失常；离开正路，越轨)
tious,后缀：形容词后缀，表示“…的”，“有…性质的”,cautious(adj. 谨慎的；十分小心的)
tip,/ tip/n. 小费；尖端  vi. 给小费。【词根】顶尖,multiplexor(n. 多路器，多路复用器)
tir,【词根】缺乏，缺少;拉回,tire(vi. 疲劳；厌倦)
tire,/ 5taiE/vi. 疲劳；厌倦【词根】拉回,retirement(n.退休，引退；退隐)
tla,词根：携带，搬运，忍受，重量，钱,atlas(n. 地图集)
tol,词根：携带，搬运，忍受，重量，钱,tolerate(vt. 忍受；默许；宽恕)
toler,词根：表示“容忍”,intolerant(adj.不宽容的; 偏执的)
tom,汤姆（男名）【词根】切割,atomic(a.原子的；原子能的)
tomy,后缀:主要用于外科手术后缀，表示“切开”  ,anatomy(n. 解剖；解剖学；剖析；骨骼)
ton,/ tQn/n. 吨；很多，大量【词根】语调；声音,tone(n. 语气；色调；音调；音色)
tongu,"词根：舌头,语言,舔",tongue(n. 舌头；语言)
top,n. 顶部，顶端 【词根】地点,topical(adj. 局部的；论题的；时事问题的；局部地区的)
tor,n.石山，突岩； 毫巴【词根】转；扭,torment(vt. 折磨，使痛苦；纠缠)
torm,词根：沉重的咚咚声；痛苦,torment（vt. 折磨，使痛苦；纠缠，作弄）
torn,/ tR:n/ tear的过去分词【词根】转；扭,tornado(n. 龙卷风；旋风；暴风（torn+ado→转着的风→龙卷风）)
torp,词根：numb（麻木）,torpid（adj. 迟钝的，迟缓的；不活泼的；麻痹的；[生物] 蛰伏的）
